,id,url,title,description,date,image
0,BXFQY9L2IKS0DF5PAUUHIBXD3GQZCTJI,http://abcnews.go.com/Politics/wireStory/message-unity-replaces-torched-biden-harris-farm-display-73584963, Message of unity replaces torched Biden-Harris farm display,A stack of hay bales on a Massachusetts farm decorated in support of the Democratic presidential ticket that was burned down has been replaced w...,2020-10-13 14:20:02,
1,0OAYAZMJK1HWSR57ZSRDTIQHSWVMFFMU,http://www.foxnews.com/politics/california-republicans-unofficial-ballot-boxes-35-million-team-biden-contract,"California Republicans refuse to remove ballot boxes, slam state's $35 million 'Team Biden' contract",The California Republican Party responded Monday to criticism over unofficial ballot drop-off boxes in counties with highly competitive U.S. Hou...,2020-10-13 13:28:49,http://a57.foxnews.com60/60/AP20279730747551.jpg
2,KJK8L0OVNAAYCFBFZJDX232XIAZVIIPR,http://www.foxnews.com/politics/amy-coney-barrett-supreme-court-senate-confirmation-hearing-newt-gingrich,Senate Dems 'trapped' on Amy Coney Barrett confirmation hearing: Gingrich,"Senate Democrats are ""losing every day"" with their opposition to President Trump's Supreme Court nominee Judge Amy Coney Barrett, Fox News contr...",2020-10-13 13:16:59,http://a57.foxnews.com60/60/image.jpg
3,C9YINIVONE4SJXPZPQR2BMRLVQJOCGT0,http://www.foxnews.com/politics/johnson-grassley-fbi-mccabe-texts,"Johnson, Grassley press FBI for all McCabe texts, call delay 'unacceptable'",Top Senate Republicans investigating the origins of the FBI’s Trump-Russia probe are pressing the bureau to produce all text messages belonging...,2020-10-13 12:58:35,http://a57.foxnews.com60/60/AP19045503047768.jpg
4,5UJONKK8CCWTRLV3CAWXO4QLQJBHDUY7,http://www.scmp.com/news/china/politics/article/3105317/chinese-president-xi-jinping-urges-push-towards-hi-tech,Chinese President Xi Jinping urges push towards hi-tech independence,Chinese President Xi Jinping has urged the nation’s technology industry to become more self-reliant as the sector faces “unprecedented” internat...,2020-10-13 08:31:00,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/video/thumbnail/2020/10/13/thumbnail_webyt_clean.jpg?itok=-bThf4Q_
5,F0M8JRKYPDO9JVTZGNHOQE81UWHS0TYL,http://www.scmp.com/news/hong-kong/politics/article/3105311/hong-kongs-leader-doesnt-mind-shenzhens-rise-central,"Hong Kong’s leader ‘doesn’t mind’ Shenzhen’s rise, as central government heaps incentives on mainland ‘model city’","Hong Kong’s leader has said she does not mind that Shenzhen has surpassed its GDP, adding that rather than seeing the neighbouring tech hub as a...",2020-10-13 07:26:31,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/methode/2020/10/13/ec206ad6-0d0d-11eb-94e0-02af7fd927c6_image_hires_163015.jpg?itok=LWwrZDtQ
6,F462WHLTEVVHPMHWRAF2UMSA57VYQIKY,http://www.scmp.com/week-asia/politics/article/3105299/indo-pacific-nato-chinas-wang-yi-slams-us-led-quad-underlying,‘Indo-Pacific Nato’: China’s Wang Yi slams US-led ‘Quad’ as underlying security risk at Malaysia meeting,"Strategic cooperation between the United States, Japan, Australia and India in the form of the Quadrilateral Security Dialogue is part of Washin...",2020-10-13 07:25:09,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/methode/2020/10/13/2e6be116-0d1f-11eb-94e0-02af7fd927c6_image_hires_163719.jpg?itok=lGg6QNkO
7,ZAFJJ0VZNUJDSYK1WHNL3RB45BRHJXM7,https://www.versobooks.com/blogs/4850,The American Earthquake: Mike Davis and the Politics of Disaster,Phoning Mike Davis&nbsp;is a good way of getting acquainted with his answering machine. It is a virtually futile way of getting hold of the cele...,2020-10-13 07:21:36,
8,LJOA0CI47GD1NSVQFAFXWL915VOWIOPY,http://www.scmp.com/week-asia/politics/article/3105294/malaysias-anwar-ibrahim-urges-patience-citizens-king-deliberates,Malaysia’s Anwar Ibrahim urges ‘patience’ from citizens as king deliberates on power transition plan,Malaysia’s opposition leader Anwar Ibrahim on Tuesday urged citizens to exercise “patience and wisdom” as the king deliberates on the next steps...,2020-10-13 06:50:43,https://cdn.i-scmp.com/sites/default/files/styles/1280x720/public/d8/images/methode/2020/10/13/7a4f7250-0d0b-11eb-94e0-02af7fd927c6_image_hires_163221.jpg?itok=w3G123JT
9,QAW6FK7PVLKNTDBR4VOQWUKDIA8B7F1F,https://www.independent.co.uk/news/world/americas/us-politics/trump-news-polls-biden-covid-latest-us-2020-election-voters-b991890.html,2020 polls: Republicans fear president’s campaign is slipping - ‘It’s been a long time since Trump has had any good news’,"&lt;p&gt;Three weeks before Election Day, President Donald Trump&rsquo;s campaign has been left reeling by a series of self-inflicted calamities...",2020-10-13 06:39:25,
